pardoned.',1,1
silent.,1,0
draw,',1,1
seated,1,1
behind?',1,1
believed,1,1
extremely--',1,1
saves,1,1
figure!',1,1
knelt,1,1
everybody,4,5
four,4,4
was,',1,3
sleep,4,4
ever;,1,1
hanging,3,3
ringlets,1,1
brush,,1,1
oldest,1,1
hate,1,1
assembled,2,2
consider,1,1
whose,2,2
up,,6,5
IX.,1,0
be?',2,2
swam,3,5
(for,1,1
pardon,,1,1
larger,,3,3
presents,2,2
list,1,1
Quadrille,,1,1
up:,1,1
under,16,8
serpents!,1,0
teaching,1,1
larger:,1,1
dear!",1,1
worth,4,4
dear!',3,2
tears!,1,0
coaxing.,1,0
otherwise,,1,1
rise,1,1
returning,,1,1
tears.,2,0
now,',4,2
tears,,1,3
educations--in,1,1
Gryphon.,1,0
every,11,9
remarks,1,1
'all,1,1
today.,1,0
fireplace,1,1
follows:--,1,1
school,2,3
prize,1,1
rippling,1,1
wooden,1,1
pinch,1,1
angry,,1,1
'either,1,1
whispered,,1,1
solid,1,1
NEAR,1,1
shouting,1,1
trial.',1,1
lips.,1,0
Go,0,1
oblong,1,1
decidedly,,3,1
Our,0,1
favoured,1,1
about,',1,1
me!,2,0
her.,11,0
tired,5,3
Ugh,,0,1
me,,2,3
ever:,1,1
here;,1,1
fond--of--of,1,1
her;,3,2
her:,4,5
likely,2,4
louder,1,1
audibly.,1,0
('I,2,2
locked;,1,1
CURTSEYING,1,1
listened,,1,1
m--',1,1
machines,1,1
shining,1,1
even,13,15
meekly,1,1
languid,,1,1
'EAT,1,1
hide,1,1
violently,,2,2
ugly,1,1
solemn,3,2
story!',2,2
particular.,1,0
(which,1,1
'You,15,20
now?',2,2
change:,1,1
above,3,3
conduct,1,1
new,1,3
ever,10,13
is--"The,1,1
Fish-Footman,2,2
it!--That,1,1
glass;,1,1
difficulty,,1,1
wings.,1,0
Queen!',1,1
can,',1,1
half-past,1,1
never,17,28
wrapping,1,1
here,12,12
'she,1,1
met,3,2
spoon,1,1
glass.,1,0
glass,,2,2
hers,2,3
execution.',1,1
shriek,2,2
rabbit-hole,2,2
cried.,2,0
Wonderland,1,1
ask.,1,0
daughter,1,1
finger;,1,1
puzzled.,2,0
Croquet-Ground,1,1
(And,,1,1
mouths;,1,1
leaves,2,1
changed,4,6
'Silence,1,1
listening:,1,1
pieces.,1,0
barrowful,1,2
escape,1,1
far!",1,1
smoke,1,1
encourage,1,1
NOT,5,4
otherwise."',1,1
listening,,2,2
changes,2,2
purple.,1,0
ventured,1,1
golden,3,3
XII.,1,0
'only,,1,1
figure,1,1
thought,,2,4
breath,,2,1
then--always,1,1
angrily,2,2
feelings,1,1
Where,0,3
patience,1,1
over,,2,1
oyster!',1,1
guests,2,2
drowned,1,1
punching,1,1
Caterpillar's,1,1
