all,1,1
better,,3,3
Ibrahimovic,5,8
pounce,,1,1
seemed,2,2
looking,2,2
up,,1,1
narrower,,1,1
up!,1,0
to,30,31
charge,1,1
post!,1,0
Olimpico,,1,1
Robinho,1,2
lead,,2,2
more,,1,1
save!,1,0
more.,1,0
continued,1,1
minute,2,1
17th,1,1
Just,0,2
did,3,3
joined,1,1
team,1,1
quick,1,1
force,1,1
past,1,1
second,2,3
Cassano,,1,1
pass,1,1
Bojan,4,4
defence,1,1
him,,2,2
above,1,1
net,1,1
Stadio,1,2
pushing,2,2
Zambrotta.,1,0
drew,1,1
yards,2,2
through,,1,1
box,1,3
convert,1,1
30,1,1
35,1,1
Zambrotta,1,1
Urby,1,1
Abate,,1,1
Bojan’s,1,1
play,,1,1
65th,1,1
chipped,1,1
brought,2,2
Abbiati,4,6
Alberto,1,1
from,9,9
would,2,1
positive,1,1
Nesta,,1,1
sitter,1,1
then,1,1
right,,1,1
ball,,1,1
more,3,3
box,,1,1
Stekelenberg,1,1
off!,1,0
off,,1,1
high,1,1
keeping,1,1
challenge,1,1
Roma.,1,0
crossed,1,1
sent,2,1
leaped,1,1
making,1,1
scramble,1,1
claim,1,1
tap,1,1
give,1,1
Miralem,1,1
half,,1,1
half.,1,0
something,1,1
weren’t,1,1
–,7,7
wonderful,1,2
keep,1,1
absolute,1,1
end,1,1
goal,4,4
fortunately,1,1
secured,1,1
very,1,1
wracking,1,1
vital,1,1
win.,1,0
fourth,1,1
nullified.,1,0
sealed.,1,0
A,0,2
badly,1,1
equalised,1,1
overall,1,1
earlier,1,1
4th,1,1
equaliser,1,1
destined,1,1
parry,1,1
grow,1,1
a,30,33
improved,,1,1
out,,3,3
2-1.,1,0
lined,1,1
pulled,1,1
began,1,1
Nocerino,0,1
move,1,1
cross,1,1
held,1,1
through,1,1
down,,1,1
still,1,1
blocked,1,1
perfect,1,1
Aquilani,4,3
His,0,1
nonetheless,,1,1
hope,,1,1
corner.,1,0
corner,,1,2
spreading,1,1
net.,1,0
it,,2,2
good,3,4
than,1,1
Lamela,1,1
net!,1,0
break,1,1
Bommel,1,1
they,1,1
half,2,2
not,1,1
killed,1,1
In,0,3
mark,,1,2
Milan,7,10
victory,1,2
side,2,2
everyone,1,1
fired,1,1
hard,2,2
Lamela’s,1,1
4-3-1-2,,1,1
out,3,3
missed,1,1
crucial,2,1
time,,2,2
time.,1,0
got,5,3
after,4,4
free,1,1
quite,2,4
extraordinary,0,1
put,2,2
beginning,1,1
created,1,1
could,5,5
goalwards,,1,1
he’d,1,1
threat,1,1
(as,1,1
onto,2,1
Nicolas,1,1
Milan!,1,0
too.,1,0
Milan.,2,0
one,1,1
done,1,1
minutes,,1,1
scenes!,1,0
introduction,1,1
header,,1,1
response,3,2
their,1,1
attack,1,1
2,1,1
2-1,1,1
way,1,1
on,,1,1
took,1,1
forward,,1,1
subbed,1,1
later,,2,2
wide,1,1
grew,1,1
showed,2,2
double,1,1
matter,1,1
Allegri’s,1,1
were,5,8
bet,1,1
and,35,33
remained,1,1
turned,1,1
Abbiati,,1,1
have,4,5
any,1,1
angle,1,1
De,1,1
also,1,1
take,1,1
which,1,1
Swede,1,1
play,4,4
added,2,2
though,1,1
who,3,3
poke,1,1
70,0,1
The,0,1
that!!,1,0
deny,1,1
won,1,1
clear,1,1
playing,1,1
looked,2,2
points,2,3
clean,1,1
link,1,1
left,1,1
came,2,2
area,,2,4
shot,2,3
ending,1,1
corner,2,3
inwards,,1,1
impact,1,1
dangerous,,1,1
earned,1,1
shot,,1,1
3,1,2
should,1,1
being,1,1
only,2,2
going,2,2
Roma’s,1,1
touched,1,1
his,3,2
Nocerino’s,1,1
get,2,2
beat,1,1
meanwhile,,1,1
lucky,1,1
Keen,0,1
nearly,2,2
Minutes,1,1
him,2,2
Italian,1,1
smash,1,1
whilst,1,1
Allegri,1,2
protesting,1,1
where,2,2
press,,1,1
set,1,1
this,,1,1
result,1,1
seal,1,1
78th,1,1
ground,,1,1
said,1,1
away,2,2
game,,1,1
rolled,1,1
behind,2,2
