Title,Annual Growth,Life Expectancy Male,Life Expectancy Female,Life Expectancy Average,Dev Status,Birth Per Hour,Death Per Hour,Migration Per Hour,Population
Samoa,0.313,68.6,74.9,71.5,least_developed,0.537945205,0.11369863,-0.359315068,183081
Japan,0.023,79.3,86.1,82.7,developed,123.9855708,126.8856621,6.164383562,126535920
French Guiana,2.697,72.6,79.9,75.9,developing,0.618561644,0.089840183,0.136986301,231151
Azerbaijan,1.35,67.1,73.1,70.1,developing,19.78817352,7.308333333,1.216073059,9187783
Ivory Coast,1.82,52.1,54.1,53,developing,75.38242009,27.9656621,-8.219178082,19737800
North Korea,0.499,64.8,71.8,68.4,developing,40.13155251,26.42634703,0,24346229
Djibouti,1.895,55.2,58,56.6,least_developed,2.848881279,1.014429224,0,888716
Equatorial Guinea,2.838,48.9,51.5,50.1,least_developed,2.788447489,1.129497717,0.456621005,700401
Malta,0.35,76.3,81.2,78.8,developed,0.436187215,0.385502283,0.114155251,416515
Hungary,-0.206,69.5,77.6,73.6,developed,11.17216895,15.24273973,1.712328767,9983645
Cyprus,1.332,76.8,81.1,78.9,developing,1.445570776,0.830981735,1.008356164,1103647
Barbados,0.208,73,79.5,76.2,developing,0.337374429,0.272808219,0,273331
Bhutan,1.926,64.1,67.8,65.8,least_developed,1.703401826,0.566004566,0.384223744,725940
Lithuania,-0.547,65.5,77.2,71.3,developed,3.871803653,5.165,-0.810388128,3323611
Micronesia,0.298,67.6,69.1,68.3,developing,0.320753425,0.077716895,-0.205479452,111064
Mauritania,2.539,55.9,59.2,57.5,least_developed,12.93577626,3.743447489,0.226027397,3459773
Tunisia,1.116,71.9,76,73.9,developing,20.30614155,6.862762557,-0.456621005,10480934
Rwanda,2.874,52.7,55.1,53.9,least_developed,46.08746575,13.96031963,0.344954338,10624005
Aruba,1.246,72.3,77.1,74.8,developing,0.14260274,0.085707763,0.091324201,107488
French Polynesia,1.21,72.2,77.1,74.5,developing,0.526461187,0.154155251,-0.009429224,270764
Uk,0.6,77.4,81.7,79.6,developed,84.88623288,66.33299087,23.29248858,62035570
Argentina,0.876,71.5,79.1,75.3,developing,78.92812785,34.83682648,-4.566141553,40412376
Norway,1.093,78.1,82.7,80.5,developed,6.821872146,4.799474886,3.909406393,4883111
Somalia,2.198,48.7,51.8,50.2,least_developed,44.65452055,15.6359589,-6.849315068,9330872
Ghana,2.394,61.8,63.6,62.7,developing,85.70726027,21.70554795,-1.170273973,24391823
United States Virgin Islands,-0.056,75.9,82,78.9,developing,0.161849315,0.086575342,-0.082283105,109056
Australia,1.749,79.1,83.8,81.4,developed,33.18052511,16.28041096,25.6766895,22268384
Cuba,0.007,76.6,80.5,78.5,developing,13.46125571,9.035228311,-4.340707763,11257979
Saint Vincent and the Grenadines,0.106,69.6,73.8,71.6,developing,0.220365297,0.093013699,-0.114155251,109333
Zambia,2.653,46.5,47.3,46.9,least_developed,62.4102968,23.3416895,-1.940639269,13088570
Papua New Guinea,2.358,59.5,63.7,61.5,developing,23.27972603,5.863538813,0,6858266
Guatemala,2.47,66.7,73.8,70.3,developing,51.44365297,8.709063927,-4.566210046,14388929
